frankensim.matdb-source.v1
surface_a	90 wt% PTFE plus 10 wt% carbon fiber	coaxial hydraulic-piston sealing ring backed by an NBR O-ring of 70 Shore A hardness	source material label PTFE CF10; supplier lot resin fiber dimensions manufacture and surface finish unstated	1	piston-seal-sliding-surface-finish-unstated
surface_b	hydraulic-cylinder steel inner bore	steel grade alloy heat treatment coating state and measured test-surface finish unstated	source identifies the counterface only as the cylinder steel surface; coating must not be inferred from recommended catalog roughness	1	cylinder-inner-bore-coating-and-finish-unstated
context	source-linked-CITGO-Anti-Wear-Hydraulic-Oil-Grade-32-lot-and-formulation-unstated	-	hydraulic-cylinder-opposed-chamber-pressure-and-atmosphere-unstated	mounted-coaxial-piston-seal-15pct-o-ring-radial-deformation-table-2-resistive-film-measurement
observation	table-2-velocity-sweep	PTFE CF10 piston seal against source-grade-and-coating-unspecified steel cylinder bore in source-linked anti-wear hydraulic oil ISO VG 32	Deaconescu and Deaconescu 2020 Table 2 velocity block; voltage drop across the oil-film resistance converted with Equation 11, Ra=10 megaohm, and CR=63.735 megaohm per micrometer	Table 2 reports only the displayed voltage and computed film thickness. Repeats raw traces dispersion confidence calibration uncertainty PTFE constituent grades supplier lot process exact seal geometry test-bore steel grade coating finish metrology oil lot additive formulation opposed-chamber state leakage friction force wear and life are absent. The paper's maximum 3.5 percent comparison error is between measured and Equation 6 theoretical thicknesses, not measurement uncertainty. Reference 29 identifies CITGO Anti-Wear Hydraulic Oil Grade 32; the paper does not separately print a tested-fluid lot
observation	table-2-pressure-sweep	PTFE CF10 piston seal against source-grade-and-coating-unspecified steel cylinder bore in source-linked anti-wear hydraulic oil ISO VG 32	Deaconescu and Deaconescu 2020 Table 2 pressure block; voltage drop across the oil-film resistance converted with Equation 11, Ra=10 megaohm, and CR=63.735 megaohm per micrometer	Table 2 repeats 8.3 micrometers at 100 bar, 333 K, and 0.2 m/s in the velocity and pressure blocks. Both source rows remain separate provenance-linked claims rather than being treated as independent replicates. Repeats raw traces dispersion confidence calibration uncertainty PTFE constituent grades supplier lot process exact seal geometry test-bore steel grade coating finish metrology oil lot additive formulation opposed-chamber state leakage friction force wear and life are absent
observation	table-2-temperature-sweep	PTFE CF10 piston seal against source-grade-and-coating-unspecified steel cylinder bore in source-linked anti-wear hydraulic oil ISO VG 32	Deaconescu and Deaconescu 2020 Table 2 temperature block; voltage drop across the oil-film resistance converted with Equation 11, Ra=10 megaohm, and CR=63.735 megaohm per micrometer	This block prints 8.1 micrometers at the same nominal 100 bar, 333 K, and 0.2 m/s condition where two other Table 2 blocks print 8.3 micrometers. The conflict remains separate with Unstated uncertainty; it is not averaged or widened into an invented interval. The 293 K and 313 K CF10 cells are dashes and no claims are created. Test-bore coating state and measured finish remain unknown
scalar	velocity-020-film-thickness	table-2-velocity-sweep	fluid-film-thickness	0.0000083	m	constant
uncertainty	velocity-020-film-thickness	unstated	-	-	-	-
validity	velocity-020-film-thickness	working_pressure	10000000	10000000	Pa
validity	velocity-020-film-thickness	oil_temperature	333	333	K
validity	velocity-020-film-thickness	piston_speed	0.2	0.2	m/s
